key,value,version,sheet
Buff_AddSpeed,Tăng Tốc,#20250206103400,Buffs
Buff_BleedS,Chảy Máu,#20250812031926,Buffs
Buff_Starve,Đói,#20250812031926,Buffs
Buff_Starve_Desc,Khiến\ tốc\ độ\ hồi\ phục\ giảm\ và\ chịu\ sát\ thương\ liên\ tục\ theo\ thời\ gian,#20250919105708,Buffs
Buff_Stun,Choáng,#20250812031926,Buffs
Buff_Stun_Desc,"Bị\ choáng,\ làm\ giảm\ khả\ năng\ hành\ động",#20250919105708,Buffs
Buff_Thirsty,Mất Nước,#20250206103400,Buffs
Buff_Weight_Overweight,Quá Tải,#20250812031926,Buffs
Buff_Weight_Overweight_Desc,Mang\ quá\ nhiều\ vật\ nặng,#20250919105708,Buffs
Buff_Weight_SuperHeavy,Nặng Nề,#20250812031926,Buffs
Buff_Weight_SuperHeavy_Desc,"Mang\ đồ\ quá\ nặng,\ làm\ giảm\ tốc\ độ\ di\ chuyển\ và\ tốn\ nhiều\ thể\ lực\ hơn",#20250919105708,Buffs
Buff_PoisonS,Nhiễm Độc,#20250812031926,Buffs
Buff_Electric,Điện Giật,#20250812031926,Buffs
Buff_Electric_Desc,"Tê\ liệt,\ làm\ giảm\ tốc\ độ\ di\ chuyển",#20250919105708,Buffs
Buff_Thirsty_Desc,Mất\ nước\ nghiêm\ trọng\ khiến\ cơ\ thể\ suy\ kiệt,#20250919105708,Buffs
Buff_Weight_Heavy,Nặng,#20250206103400,Buffs
Buff_Weight_Heavy_Desc,"Mang\ đồ\ nặng,\ làm\ chậm\ tốc\ độ\ di\ chuyển",#20250919105708,Buffs
Buff_Weight_Light,Nhanh Nhẹn,#20250812031926,Buffs
Buff_Weight_Light_Desc,"Mang\ đồ\ nhẹ,\ giúp\ di\ chuyển\ linh\ hoạt\ hơn",#20250919105708,Buffs
Buff_AddSpeed_Desc,Tăng\ tốc\ độ\ di\ chuyển,#20250919105708,Buffs
Buff_Pain,Đau Đớn,#20250206103400,Buffs
Buff_Pain_Desc,Đau\ đớn\ khiến\ cho\ nhân\ vật\ yếu và\ giảm\ khả\ năng\ di\ chuyển,#20250919105708,Buffs
Buff_PainResistShort,Bình Tĩnh,#20250206103400,Buffs
